2025-06-09 10:44:25, Gen 320, Fitness 7719.00, Species 9
2025-06-09 10:44:28, Gen 320, Fitness 422.00, Species 9
2025-06-09 10:48:14, Gen 330, Fitness 5944.00, Species 8
2025-06-09 11:00:46, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:02:06, Gen 0, Fitness 5352.00, Species 0
2025-06-09 11:03:47, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:04:35, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:07:32, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:08:17, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:09:36, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:12:50, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:13:52, Gen 0, Fitness 374.00, Species 0
2025-06-09 11:19:25, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:21:01, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:29:50, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:32:57, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:33:55, Gen 0, Fitness 238.50, Species 0
2025-06-09 11:41:04, Gen 0, Fitness 1.00, Species 0
2025-06-09 11:59:09, Gen 0, Fitness 1.00, Species 0
2025-06-09 12:03:07, Gen 10, Fitness 1.10, Species 5
2025-06-09 12:06:03, Gen 20, Fitness 1.10, Species 7
